Ward Code,Ward Name,LA Name,Region Name,QS205EW0006,QS205EW0001 (base),Ward Percentage
E05000326,Brunel,Hillingdon,London,57,13380,0.4300,
E05000327,Cavendish,Hillingdon,London,17,11255,0.1500,
E05000329,Eastcote and East Ruislip,Hillingdon,London,14,11737,0.1200,
E05000330,Harefield,Hillingdon,London,7,7113,0.1000,
E05000388,Earl's Court,Kensington and Chelsea,London,25,8822,0.2800,
E05000015,Cripplegate,City of London,London,3,2698,0.1100,
E05000017,Farringdon Within,City of London,London,0,272,0.0000,
E05000018,Farringdon Without,City of London,London,1,1084,0.0900,
E05000462,Hillside,Merton,London,21,8612,0.2400,
E05000463,Lavender Fields,Merton,London,71,9734,0.7300,
E05000044,Burnt Oak,Barnet,London,153,17304,0.8800,
E05000036,Mayesbrook,Barking and Dagenham,London,43,9767,0.4400,
E05000379,St Mary's,Islington,London,50,11208,0.4500,
E05004077,Pilgrims Hatch,Brentwood,East of England,1,5778,0.0200,
E05000376,Junction,Islington,London,48,11588,0.4100,
E05000372,Highbury East,Islington,London,46,11119,0.4100,
E05000373,Highbury West,Islington,London,62,14431,0.4300,
E05000374,Hillrise,Islington,London,62,11279,0.5500,
E05000375,Holloway,Islington,London,64,14520,0.4400,
E05000378,St George's,Islington,London,35,11911,0.2900,
E05000377,Mildmay,Islington,London,93,12349,0.7500,
E05000380,St Peter's,Islington,London,40,11416,0.3500,
E05000381,Tollington,Islington,London,78,12699,0.6100,
E05000037,Parsloes,Barking and Dagenham,London,45,9212,0.4900,
E05000400,Alexandra,Kingston upon Thames,London,21,8882,0.2400,
E05000331,Heathrow Villages,Hillingdon,London,82,11522,0.7100,
E05000332,Hillingdon East,Hillingdon,London,31,12289,0.2500,
E05000333,Ickenham,Hillingdon,London,10,10098,0.1000,
E05000401,Berrylands,Kingston upon Thames,London,18,9037,0.2000,
E05000334,Manor,Hillingdon,London,16,10994,0.1500,
E05000335,Northwood,Hillingdon,London,23,10141,0.2300,
E05000336,Northwood Hills,Hillingdon,London,29,11127,0.2600,
E05000337,Pinkwell,Hillingdon,London,168,13960,1.2000,
E05000338,South Ruislip,Hillingdon,London,37,11793,0.3100,
E05000339,Townfield,Hillingdon,London,159,13410,1.1900,
E05000340,Uxbridge North,Hillingdon,London,21,11615,0.1800,
E05000029,Chadwell Heath,Barking and Dagenham,London,36,9496,0.3800,
E05000021,Portsoken,City of London,London,8,962,0.8300,
E05000022,Queenhithe,City of London,,0,317,0.0000,
E05000023,Tower,City of London,London,0,223,0.0000,
E05000026,Abbey,Barking and Dagenham,London,136,11885,1.1400,
E05000027,Alibon,Barking and Dagenham,London,26,9772,0.2700,
E05000028,Becontree,Barking and Dagenham,London,60,10867,0.5500,
E05000097,Preston,Brent,London,187,14793,1.2600,
E05000382,Abingdon,Kensington and Chelsea,London,19,9606,0.2000,
E05000146,Addiscombe,Croydon,London,75,16021,0.4700,
E05000383,Brompton,Kensington and Chelsea,London,20,8578,0.2300,
E05002667,Gerrards Cross South,South Bucks,South East,9,3439,0.2600,
E05000384,Campden,Kensington and Chelsea,London,12,7832,0.1500,
E05000385,Colville,Kensington and Chelsea,London,33,8113,0.4100,
E05000386,Courtfield,Kensington and Chelsea,London,20,8622,0.2300,
E05000387,Cremorne,Kensington and Chelsea,London,25,7685,0.3300,
E05000389,Golborne,Kensington and Chelsea,London,35,8622,0.4100,
E05000390,Hans Town,Kensington and Chelsea,London,15,8498,0.1800,
E05000452,Sydenham,Lewisham,London,36,14787,0.2400,
E05000453,Telegraph Hill,Lewisham,London,76,15660,0.4900,
E05000454,Whitefoot,Lewisham,London,42,13612,0.3100,
E05000455,Abbey,Merton,London,25,9814,0.2500,
E05000456,Cannon Hill,Merton,London,33,8932,0.3700,
E05000457,Colliers Wood,Merton,London,55,10229,0.5400,
E05000458,Cricket Green,Merton,London,58,10883,0.5300,
E05000459,Dundonald,Merton,London,13,8777,0.1500,
E05002348,Wexham Lea,Slough,South East,142,10499,1.3500,
E05000136,Haverstock,Camden,London,84,11829,0.7100,
E05000495,Aldborough,Redbridge,London,81,13883,0.5800,
E05000496,Barkingside,Redbridge,London,76,12154,0.6300,
E05000497,Bridge,Redbridge,London,23,11141,0.2100,
E05000041,Village,Barking and Dagenham,London,20,10140,0.2000,
E05000498,Chadwell,Redbridge,London,85,13453,0.6300,
E05004748,Borehamwood Brookmeadow,Hertsmere,East of England,12,7461,0.1600,
E05000499,Church End,Redbridge,London,12,11011,0.1100,
E05000500,Clayhall,Redbridge,London,101,12855,0.7900,
E05000501,Clementswood,Redbridge,London,164,13788,1.1900,
E05000492,Stratford and New Town,Newham,London,173,17039,1.0200,
E05000493,Wall End,Newham,London,203,14051,1.4400,
E05000494,West Ham,Newham,London,167,14861,1.1200,
E05000042,Whalebone,Barking and Dagenham,London,42,10033,0.4200,
E05000407,Coombe Vale,Kingston upon Thames,London,31,9379,0.3300,
E05000589,Whitechapel,Tower Hamlets,London,332,14278,2.3300,
E05000590,Cann Hall,Waltham Forest,London,123,13092,0.9400,
E05000591,Cathall,Waltham Forest,London,110,12046,0.9100,
E05000582,Mile End East,Tower Hamlets,London,252,12665,1.9900,
E05000583,Millwall,Tower Hamlets,London,181,21956,0.8200,
E05000584,St Dunstan's and Stepney Green,Tower Hamlets,London,343,15492,2.2100,
E05000585,St Katharine's and Wapping,Tower Hamlets,London,91,11877,0.7700,
E05000586,Shadwell,Tower Hamlets,London,305,14352,2.1300,
E05000587,Spitalfields and Banglatown,Tower Hamlets,London,225,9944,2.2600,
E05000588,Weavers,Tower Hamlets,London,220,12693,1.7300,
E05002670,Iver Village and Richings Park,South Bucks,South East,17,5106,0.3300,
E05000391,Holland,Kensington and Chelsea,London,42,9403,0.4500,
E05000644,St James's,Westminster,London,51,10606,0.4800,
E05000645,Tachbrook,Westminster,London,26,7954,0.3300,
E05000301,Roxbourne,Harrow,London,94,12216,0.7700,
E05000302,Roxeth,Harrow,London,122,11162,1.0900,
E05000642,Queen's Park,Westminster,London,117,12000,0.9800,
E05000643,Regent's Park,Westminster,London,71,11604,0.6100,
E05000303,Stanmore Park,Harrow,London,57,10849,0.5300,
E05000304,Wealdstone,Harrow,London,140,10814,1.2900,
E05000305,West Harrow,Harrow,London,67,9941,0.6700,
E05000306,Brooklands,Havering,London,35,14240,0.2500,
E05000307,Cranham,Havering,London,5,12190,0.0400,
E05000308,Elm Park,Havering,London,17,12100,0.1400,
E05000408,Grove,Kingston upon Thames,London,18,10516,0.1700,
E05000309,Emerson Park,Havering,London,15,11686,0.1300,
E05000310,Gooshays,Havering,London,8,14034,0.0600,
E05004752,Bushey Heath,Hertsmere,East of England,5,6489,0.0800,
E05004847,Tudor,Watford,East of England,10,5882,0.1700,
E05000464,Longthornton,Merton,London,61,9589,0.6400,
E05004749,Borehamwood Cowley Hill,Hertsmere,East of England,12,8061,0.1500,
E05000106,Bickley,Bromley,London,12,14579,0.0800,
E05000465,Lower Morden,Merton,London,11,8750,0.1300,
E05000102,Tokyngton,Brent,London,243,14509,1.6700,
E05000466,Merton Park,Merton,London,29,9144,0.3200,
E05000101,Sudbury,Brent,London,188,14251,1.3200,
E05000103,Welsh Harp,Brent,London,197,13103,1.5000,
E05000467,Pollards Hill,Merton,London,37,9828,0.3800,
E05000108,Bromley Common and Keston,Bromley,London,12,14532,0.0800,
E05000104,Wembley Central,Brent,London,307,14116,2.1700,
E05000468,Ravensbury,Merton,London,50,9522,0.5300,
E05000105,Willesden Green,Brent,London,180,14885,1.2100,
E05000109,Bromley Town,Bromley,London,21,15992,0.1300,
E05000469,Raynes Park,Merton,London,10,9267,0.1100,
E05000098,Queens Park,Brent,London,89,14554,0.6100,
E05000409,Norbiton,Kingston upon Thames,London,36,9631,0.3700,
E05000470,St Helier,Merton,London,40,9954,0.4000,
E05000471,Trinity,Merton,London,17,9244,0.1800,
E05000410,Old Malden,Kingston upon Thames,London,22,9094,0.2400,
E05000411,St James,Kingston upon Thames,London,48,8701,0.5500,
E05004173,Theydon Bois,Epping Forest,East of England,1,3950,0.0300,
E05004160,Loughton Broadway,Epping Forest,East of England,6,4071,0.1500,
E05000341,Uxbridge South,Hillingdon,London,65,13530,0.4800,
E05000342,West Drayton,Hillingdon,London,63,13639,0.4600,
E05002637,Central,Chiltern,South East,5,4195,0.1200,
E05002341,Colnbrook with Poyle,Slough,South East,25,5800,0.4300,
E05002343,Foxborough,Slough,South East,26,8027,0.3200,
E05000032,Gascoigne,Barking and Dagenham,London,89,11445,0.7800,
E05002345,Kedermister,Slough,South East,40,9071,0.4400,
E05002346,Langley St Mary's,Slough,South East,64,7704,0.8300,
E05002347,Upton,Slough,South East,109,8930,1.2200,
E05000033,Goresbrook,Barking and Dagenham,London,41,10593,0.3900,
E05000034,Heath,Barking and Dagenham,London,29,10148,0.2900,
E05000035,Longbridge,Barking and Dagenham,London,113,10937,1.0300,
E05000189,Southall Broadway,Ealing,London,355,12883,2.7600,
E05000190,Southall Green,Ealing,London,383,13870,2.7600,
E05000031,Eastbury,Barking and Dagenham,London,64,10964,0.5800,
E05000038,River,Barking and Dagenham,London,40,10233,0.3900,
E05000039,Thames,Barking and Dagenham,London,52,9867,0.5300,
E05000040,Valence,Barking and Dagenham,London,25,9264,0.2700,
E05007260,Molesey North,Elmbridge,South East,11,5804,0.1900,
E05007373,Sunbury Common,Spelthorne,South East,10,7722,0.1300,
E05004755,Bushey St James,Hertsmere,East of England,7,7296,0.1000,
E05007356,Englefield Green West,Runnymede,South East,2,5021,0.0400,
E05000043,Brunswick Park,Barnet,London,54,15803,0.3400,
E05000392,Norland,Kensington and Chelsea,London,20,8338,0.2400,
E05000393,Notting Barns,Kensington and Chelsea,London,44,9174,0.4800,
E05000045,Childs Hill,Barnet,London,142,19179,0.7400,
E05000046,Colindale,Barnet,London,174,16216,1.0700,
E05000047,Coppetts,Barnet,London,86,16447,0.5200,
E05000048,East Barnet,Barnet,London,30,15436,0.1900,
E05000049,East Finchley,Barnet,London,82,15271,0.5400,
E05000050,Edgware,Barnet,London,60,15948,0.3800,
E05007365,Ashford Town,Spelthorne,South East,9,6852,0.1300,
E05004824,Croxley Green,Three Rivers,East of England,1,5315,0.0200,
E05000402,Beverley,Kingston upon Thames,London,67,9679,0.6900,
E05000403,Canbury,Kingston upon Thames,London,20,11610,0.1700,
E05000406,Coombe Hill,Kingston upon Thames,London,41,9969,0.4100,
E05002359,Datchet,Windsor and Maidenhead,South East,7,4711,0.1500,
E05002363,Horton and Wraysbury,Windsor and Maidenhead,South East,11,4911,0.2200,
E05000052,Garden Suburb,Barnet,London,30,15219,0.2000,
E05002366,Old Windsor,Windsor and Maidenhead,South East,6,4814,0.1200,
E05000051,Finchley Church End,Barnet,London,84,15076,0.5600,
E05000053,Golders Green,Barnet,London,109,17774,0.6100,
E05000054,Hale,Barnet,London,92,16589,0.5500,
E05000055,Hendon,Barnet,London,92,17534,0.5200,
E05000056,High Barnet,Barnet,London,32,14726,0.2200,
E05000057,Mill Hill,Barnet,London,88,17663,0.5000,
E05000058,Oakleigh,Barnet,London,44,15170,0.2900,
E05000059,Totteridge,Barnet,London,74,14525,0.5100,
E05000060,Underhill,Barnet,London,50,15355,0.3300,
E05004928,Castle,Dartford,South East,5,2496,0.2000,
E05004941,West Hill,Dartford,South East,11,6443,0.1700,
E05000099,Queensbury,Brent,London,253,14565,1.7400,
E05000201,Haselbury,Enfield,London,215,15404,1.4000,
E05000068,Brampton,Bexley,London,9,10256,0.0900,
E05000412,St Mark's,Kingston upon Thames,London,16,10080,0.1600,
E05000413,Surbiton Hill,Kingston upon Thames,London,16,9947,0.1600,
E05000414,Tolworth and Hook Rise,Kingston upon Thames,London,28,9398,0.3000,
E05000415,Tudor,Kingston upon Thames,London,7,9180,0.0800,
E05000416,Bishop's,Lambeth,London,30,9415,0.3200,
E05000417,Brixton Hill,Lambeth,London,66,15212,0.4300,
E05000418,Clapham Common,Lambeth,London,26,12268,0.2100,
E05000419,Clapham Town,Lambeth,London,58,13329,0.4400,
E05000420,Coldharbour,Lambeth,London,109,16080,0.6800,
E05000421,Ferndale,Lambeth,London,104,14602,0.7100,
E05000061,West Finchley,Barnet,London,120,15762,0.7600,
E05000062,West Hendon,Barnet,London,195,16543,1.1800,
E05000063,Woodhouse,Barnet,London,106,16891,0.6300,
E05000064,Barnehurst,Bexley,London,8,10073,0.0800,
E05000065,Belvedere,Bexley,London,32,11323,0.2800,
E05000066,Blackfen and Lamorbey,Bexley,London,3,10261,0.0300,
E05000067,Blendon and Penhill,Bexley,London,7,10556,0.0700,
E05000069,Christchurch,Bexley,London,15,10553,0.1400,
E05000070,Colyers,Bexley,London,16,10635,0.1500,
E05005031,Swanley St Mary's,Sevenoaks,South East,6,4197,0.1400,
E05000488,Manor Park,Newham,London,249,14476,1.7200,
E05000489,Plaistow North,Newham,London,202,14641,1.3800,
E05000429,Stockwell,Lambeth,London,114,14200,0.8000,
E05000430,Streatham Hill,Lambeth,London,82,13589,0.6000,
E05000431,Streatham South,Lambeth,London,116,13630,0.8500,
E05000422,Gipsy Hill,Lambeth,London,41,12927,0.3200,
E05000423,Herne Hill,Lambeth,London,56,14459,0.3900,
E05000424,Knight's Hill,Lambeth,London,47,13957,0.3400,
E05000425,Larkhall,Lambeth,London,118,16680,0.7100,
E05000426,Oval,Lambeth,London,93,14642,0.6400,
E05000427,Prince's,Lambeth,London,62,13727,0.4500,
E05000428,St Leonard's,Lambeth,London,97,13782,0.7000,
E05000077,Lesnes Abbey,Bexley,London,46,10920,0.4200,
E05000071,Crayford,Bexley,London,12,10764,0.1100,
E05000072,Cray Meadows,Bexley,London,17,10748,0.1600,
E05000073,Danson Park,Bexley,London,22,10492,0.2100,
E05000074,East Wickham,Bexley,London,21,10501,0.2000,
E05000075,Erith,Bexley,London,36,11370,0.3200,
E05000076,Falconwood and Welling,Bexley,London,14,10457,0.1300,
E05000078,Longlands,Bexley,London,2,10137,0.0200,
E05000079,North End,Bexley,London,6,10904,0.0600,
E05000080,Northumberland Heath,Bexley,London,19,10203,0.1900,
E05004069,Brentwood West,Brentwood,East of England,2,6739,0.0300,
E05000521,Hampton North,Richmond upon Thames,London,15,8977,0.1700,
E05000087,Brondesbury Park,Brent,London,111,12525,0.8900,
E05000441,Crofton Park,Lewisham,London,25,14150,0.1800,
E05000432,Streatham Wells,Lambeth,London,97,14113,0.6900,
E05000433,Thornton,Lambeth,London,57,11898,0.4800,
E05000434,Thurlow Park,Lambeth,London,59,12885,0.4600,
E05000435,Tulse Hill,Lambeth,London,69,15065,0.4600,
E05000436,Vassall,Lambeth,London,61,13620,0.4500,
E05000437,Bellingham,Lewisham,London,27,14027,0.1900,
E05000438,Blackheath,Lewisham,London,54,13359,0.4000,
E05000439,Brockley,Lewisham,London,51,16394,0.3100,
E05000440,Catford South,Lewisham,London,47,14579,0.3200,
E05000081,St Mary's,Bexley,London,4,10150,0.0400,
E05000082,St Michael's,Bexley,London,15,10726,0.1400,
E05000083,Sidcup,Bexley,London,13,10556,0.1200,
E05000084,Thamesmead East,Bexley,London,34,11369,0.3000,
E05000085,Alperton,Brent,London,342,13455,2.5400,
E05000086,Barnhill,Brent,London,181,15058,1.2000,
E05000088,Dollis Hill,Brent,London,147,12783,1.1500,
E05000089,Dudden Hill,Brent,London,195,14355,1.3600,
E05000090,Fryent,Brent,London,146,12850,1.1400,
E05004165,Loughton St Mary's,Epping Forest,East of England,8,4425,0.1800,
E05002642,Gold Hill,Chiltern,South East,0,2166,0.0000,
E05007369,Shepperton Town,Spelthorne,South East,3,6506,0.0500,
E05004760,Shenley,Hertsmere,East of England,4,5258,0.0800,
E05000100,Stonebridge,Brent,London,200,15998,1.2500,
E05000091,Harlesden,Brent,London,220,16154,1.3600,
E05000092,Kensal Green,Brent,London,169,14149,1.1900,
E05000093,Kenton,Brent,London,143,11761,1.2200,
E05000094,Kilburn,Brent,London,112,16230,0.6900,
E05000095,Mapesbury,Brent,London,108,14888,0.7300,
E05000096,Northwick Park,Brent,London,112,12398,0.9000,
E05004837,Sarratt,Three Rivers,East of England,0,1810,0.0000,
E05004833,Oxhey Hall,Three Rivers,East of England,2,3229,0.0600,
E05004753,Bushey North,Hertsmere,East of England,6,6467,0.0900,
E05000534,Brunswick Park,Southwark,London,60,12542,0.4800,
E05000535,Camberwell Green,Southwark,London,116,14327,0.8100,
E05004937,Stone,Dartford,South East,13,6245,0.2100,
E05004933,Littlebrook,Dartford,South East,4,4194,0.1000,
E05007265,Thames Ditton,Elmbridge,South East,0,5989,0.0000,
E05000546,Peckham,Southwark,London,89,13966,0.6400,
E05000547,Peckham Rye,Southwark,London,40,12707,0.3100,
E05000548,Riverside,Southwark,London,43,13860,0.3100,
E05000442,Downham,Lewisham,London,31,13854,0.2200,
E05002230,Belhus,Thurrock,East of England,16,9321,0.1700,
E05000443,Evelyn,Lewisham,London,123,15829,0.7800,
E05000444,Forest Hill,Lewisham,London,48,14069,0.3400,
E05000445,Grove Park,Lewisham,London,35,13951,0.2500,
E05000446,Ladywell,Lewisham,London,93,13832,0.6700,
E05004078,Shenfield,Brentwood,East of England,2,5250,0.0400,
E05000447,Lee Green,Lewisham,London,53,13860,0.3800,
E05000448,Lewisham Central,Lewisham,London,78,16491,0.4700,
E05000449,New Cross,Lewisham,London,122,14941,0.8200,
E05002668,Hedgerley and Fulmer,South Bucks,South East,1,1320,0.0800,
E05004174,Waltham Abbey High Beach,Epping Forest,East of England,0,2175,0.0000,
E05004161,Loughton Fairmead,Epping Forest,East of England,2,4145,0.0500,
E05002638,Chalfont Common,Chiltern,South East,2,3885,0.0500,
E05004148,Buckhurst Hill East,Epping Forest,East of England,5,4428,0.1100,
E05000594,Endlebury,Waltham Forest,London,20,10401,0.1900,
E05000595,Forest,Waltham Forest,London,129,12047,1.0700,
E05007374,Sunbury East,Spelthorne,South East,2,6529,0.0300,
E05004756,Elstree,Hertsmere,East of England,8,4899,0.1600,
E05000596,Grove Green,Waltham Forest,London,146,13827,1.0600,
E05004929,Greenhithe,Dartford,South East,4,6219,0.0600,
E05007348,Addlestone Bourneside,Runnymede,South East,3,5370,0.0600,
E05007261,Molesey South,Elmbridge,South East,16,6454,0.2500,
E05000450,Perry Vale,Lewisham,London,41,14847,0.2800,
E05000451,Rushey Green,Lewisham,London,56,14014,0.4000,
E05000259,Palace Riverside,Hammersmith and Fulham,London,7,7176,0.1000,
E05000460,Figge's Marsh,Merton,London,81,10651,0.7600,
E05000461,Graveney,Merton,London,93,9372,0.9900,
E05004942,Wilmington,Dartford,South East,1,3890,0.0300,
E05000475,Beckton,Newham,London,155,14351,1.0800,
E05007257,Hinchley Wood,Elmbridge,South East,3,4862,0.0600,
E05000111,Chislehurst,Bromley,London,16,14357,0.1100,
E05000112,Clock House,Bromley,London,11,14729,0.0700,
E05000113,Copers Cope,Bromley,London,21,14811,0.1400,
E05000114,Cray Valley East,Bromley,London,25,14679,0.1700,
E05000115,Cray Valley West,Bromley,London,16,16032,0.1000,
E05000116,Crystal Palace,Bromley,London,27,11578,0.2300,
E05000119,Hayes and Coney Hall,Bromley,London,6,15464,0.0400,
E05000120,Kelsey and Eden Park,Bromley,London,10,15374,0.0700,
E05000476,Boleyn,Newham,London,253,15170,1.6700,
E05000477,Canning Town North,Newham,London,134,14099,0.9500,
E05000536,Cathedrals,Southwark,London,44,14559,0.3000,
E05000537,Chaucer,Southwark,London,55,14689,0.3700,
E05005032,Swanley White Oak,Sevenoaks,South East,2,5867,0.0300,
E05005019,Hartley and Hodsoll Street,Sevenoaks,South East,1,5719,0.0200,
E05005015,Eynsford,Sevenoaks,South East,0,1755,0.0000,
E05000478,Canning Town South,Newham,London,85,15236,0.5600,
E05000123,Penge and Cator,Bromley,London,41,16470,0.2500,
E05000121,Mottingham and Chislehurst North,Bromley,London,8,9553,0.0800,
E05000122,Orpington,Bromley,London,11,14750,0.0700,
E05000124,Petts Wood and Knoll,Bromley,London,7,13103,0.0500,
E05000125,Plaistow and Sundridge,Bromley,London,17,14443,0.1200,
E05000126,Shortlands,Bromley,London,8,9530,0.0800,
E05000127,West Wickham,Bromley,London,6,14485,0.0400,
E05000128,Belsize,Camden,London,41,12012,0.3400,
E05000129,Bloomsbury,Camden,London,47,10730,0.4400,
E05000130,Camden Town with Primrose Hill,Camden,London,42,12202,0.3400,
E05002239,Ockendon,Thurrock,East of England,7,9269,0.0800,
E05000479,Custom House,Newham,London,105,12663,0.8300,
E05000473,West Barnes,Merton,London,33,9392,0.3500,
E05000474,Wimbledon Park,Merton,London,18,10582,0.1700,
E05000480,East Ham Central,Newham,London,230,15134,1.5200,
E05000472,Village,Merton,London,8,8224,0.1000,
E05000481,East Ham North,Newham,London,229,13212,1.7300,
E05004070,Brizes and Doddinghurst,Brentwood,East of England,2,5830,0.0300,
E05000131,Cantelowes,Camden,London,54,11473,0.4700,
E05000132,Fortune Green,Camden,London,38,11272,0.3400,
E05000135,Hampstead Town,Camden,London,13,10784,0.1200,
E05000133,Frognal and Fitzjohns,Camden,London,28,11458,0.2400,
E05000134,Gospel Oak,Camden,London,49,10817,0.4500,
E05000137,Highgate,Camden,London,23,10596,0.2200,
E05000138,Holborn and Covent Garden,Camden,London,89,12675,0.7000,
E05000139,Kentish Town,Camden,London,68,12903,0.5300,
E05000140,Kilburn,Camden,London,62,11534,0.5400,
E05000482,East Ham South,Newham,London,185,14699,1.2600,
E05000483,Forest Gate North,Newham,London,166,15494,1.0700,
E05000484,Forest Gate South,Newham,London,227,16520,1.3700,
E05000485,Green Street East,Newham,London,281,15107,1.8600,
E05000486,Green Street West,Newham,London,296,14410,2.0500,
E05000487,Little Ilford,Newham,London,247,15657,1.5800,
E05000490,Plaistow South,Newham,London,181,15524,1.1700,
E05002673,Wexham and Iver West,South Bucks,South East,13,3139,0.4100,
E05000491,Royal Docks,Newham,London,47,10052,0.4700,
E05004170,Passingford,Epping Forest,East of England,0,2199,0.0000,
E05000141,King's Cross,Camden,London,109,11511,0.9500,
E05000142,Regent's Park,Camden,London,100,13110,0.7600,
E05000143,St Pancras and Somers Town,Camden,London,134,13251,1.0100,
E05000144,Swiss Cottage,Camden,London,37,12311,0.3000,
E05000145,West Hampstead,Camden,London,47,11621,0.4000,
E05000147,Ashburton,Croydon,London,26,14196,0.1800,
E05000148,Bensham Manor,Croydon,London,93,15338,0.6100,
E05000149,Broad Green,Croydon,London,115,17520,0.6600,
E05007370,Staines,Spelthorne,South East,12,7503,0.1600,
E05007357,Foxhills,Runnymede,South East,6,5456,0.1100,
E05007366,Halliford and Sunbury West,Spelthorne,South East,4,5913,0.0700,
E05007353,Egham Hythe,Runnymede,South East,3,6193,0.0500,
E05004821,Carpenders Park,Three Rivers,East of England,4,4740,0.0800,
E05000158,Norbury,Croydon,London,124,15764,0.7900,
E05004838,Callowland,Watford,East of England,28,7013,0.4000,
E05004825,Croxley Green North,Three Rivers,East of England,2,3222,0.0600,
E05004834,Penn,Three Rivers,East of England,1,3377,0.0300,
E05000549,Rotherhithe,Southwark,London,35,13131,0.2700,
E05000550,South Bermondsey,Southwark,London,49,13118,0.3700,
E05000509,Monkhams,Redbridge,London,8,10116,0.0800,
E05000510,Newbury,Redbridge,London,129,15920,0.8100,
E05000504,Fullwell,Redbridge,London,46,12444,0.3700,
E05000505,Goodmayes,Redbridge,London,151,12383,1.2200,
E05000506,Hainault,Redbridge,London,41,12354,0.3300,
E05000507,Loxford,Redbridge,London,183,15608,1.1700,
E05000508,Mayfield,Redbridge,London,121,13049,0.9300,
E05000502,Cranbrook,Redbridge,London,103,12265,0.8400,
E05000503,Fairlop,Redbridge,London,46,12097,0.3800,
E05000511,Roding,Redbridge,London,35,11421,0.3100,
E05000161,Selhurst,Croydon,London,81,17038,0.4800,
E05000551,South Camberwell,Southwark,London,53,12010,0.4400,
E05000170,Acton Central,Ealing,London,190,14726,1.2900,
E05000163,Shirley,Croydon,London,31,13748,0.2300,
E05000164,South Norwood,Croydon,London,45,15668,0.2900,
E05000165,Thornton Heath,Croydon,London,75,15668,0.4800,
E05000166,Upper Norwood,Croydon,London,66,15330,0.4300,
E05000168,West Thornton,Croydon,London,112,16511,0.6800,
E05000169,Woodside,Croydon,London,47,15857,0.3000,
E05004938,Sutton-at-Hone and Hawley,Dartford,South East,0,4103,0.0000,
E05004934,"Longfield, New Barn and Southfleet",Dartford,South East,8,6121,0.1300,
E05007266,Walton Ambleside,Elmbridge,South East,1,4045,0.0200,
E05000538,College,Southwark,London,22,11188,0.2000,
E05000539,East Dulwich,Southwark,London,14,11622,0.1200,
E05004848,Vicarage,Watford,East of England,63,7762,0.8100,
E05000205,Palmers Green,Enfield,London,112,14530,0.7700,
E05000540,East Walworth,Southwark,London,79,11078,0.7100,
E05000175,East Acton,Ealing,London,158,17892,0.8800,
E05000176,Elthorne,Ealing,London,89,13803,0.6400,
